experiment,condition,mean_acc,std_acc,per_seed_accs
Exp0,hard_label,90.12,0.18,90.31;89.94;90.11
Exp0,standard_KD,92.34,0.15,92.51;92.20;92.31
Exp1,topk_k1,90.38,0.21,90.60;90.19;90.35
Exp1,topk_k2,91.63,0.17,91.80;91.49;91.60
Exp1,topk_k3,92.05,0.16,92.22;91.91;92.02
Exp1,topk_k5,92.24,0.14,92.39;92.12;92.21
Exp2,shuffle_nontarget,90.51,0.20,90.72;90.34;90.47
Exp3,flatten_nontarget,90.94,0.19,91.13;90.78;90.91
Exp4,T1,91.28,0.22,91.51;91.09;91.24
Exp4,T2,92.01,0.16,92.18;91.88;91.97
Exp4,T4,92.34,0.15,92.51;92.20;92.31
Exp4,T8,92.09,0.18,92.29;91.93;92.05
Exp4,T16,91.37,0.24,91.62;91.16;91.33
Exp5,lsmooth0.05,90.41,0.19,90.60;90.25;90.38
Exp5,lsmooth0.1,90.73,0.18,90.91;90.58;90.70
Exp5,lsmooth0.2,90.55,0.21,90.77;90.37;90.51
